Year (Col.1),Geographical Area (Col.2),Reporting area for Land utilisation statistics (Col.3 = Col.4+Col.7+ Col.11+Col.14+Col.15),Forests (Col.4),Not available for cultivation - Area under non-agricultural uses (Col.5),Not available for cultivation - Barren and unculturable Land (Col.6),Not available for cultivation - Total (Col.7 = Col.5+Col.6),Other uncultivated Land excluding Fallow Land - Permanent pastures & other Grazing Lands (Col.8),Other uncultivated Land excluding Fallow Land - Land under Misc. tree crops & groves (not incl. in net area sown) (Col.9),Other uncultivated Land excluding Fallow Land - Culturable waste Land (Col.10),Other uncultivated Land excluding Fallow Land - Total (Col.11 = Col.8 to Col.10),Fallow Lands - Fallow Lands other than current fallows (Col.12),Fallow Lands - Current fallows (Col.13),Fallow Lands - Total Col.14 = (Col.12+Col.13),Net area Sown (Col.15),Total cropped area (Col.16),Area sown more than once (Col.17 = Col.16-Col.15),Agricultural Land/Cultivable Land/Culturable Land/Arable Land (Col.18 = Col.9+Col.10+Col.14+Col.15),Cultivated Land (Col.19 = Col.13+Col.15),Cropping Intensity (Col.20 = % of Col.16 over Col.15)
2000-01,328726,305195,69843,23752,17483,41235,10662,3445,13631,27737,10267,14777,25044,141336,185340,44005,183455,156113,131.1
2001-02,328726,305127,69720,23914,17414,41328,10528,3442,13520,27489,10513,15343,25856,140734,188014,47280,183552,156077,133.6
2002-03,328726,305358,69821,24119,17517,41636,10450,3431,13651,27532,11966,22459,34426,131943,173889,41947,183450,154402,131.8
2003-04,328726,305567,69968,24516,17466,41982,10484,3381,13241,27106,11313,14489,25802,140708,189661,48953,183132,155198,134.8
2004-05,328726,305587,69960,24761,17468,42229,10452,3362,13272,27086,10878,14792,25670,140642,191103,50461,182946,155434,135.9
2005-06,328726,306884,71431,24993,17331,42323,10444,3391,13225,27060,10696,14213,24908,141162,192737,51575,182686,155375,136.5
2006-07,328726,307088,71463,25445,17287,42732,10418,3351,13274,27042,10516,15512,26028,139823,192381,52558,182476,155334,137.6
2007-08,328726,307232,71529,25882,17020,42902,10362,3400,13044,26806,10333,14646,24979,141016,195223,54207,182438,155662,138.4
2008-09,328726,307408,71543,26211,16851,43062,10344,3343,12735,26423,10290,14192,24482,141899,195328,53429,182459,156091,137.7
2009-10,328726,307408,71555,26158,17177,43334,10340,3214,12945,26499,10838,16009,26847,139173,189188,50015,182179,155182,135.9
2010-11,328726,307483,71593,26400,17175,43575,10305,3200,12647,26152,10323,14277,24600,141563,197683,56120,182010,155840,139.6
2011-12,328726,307392,71599,26308,17217,43525,10314,3161,12637,26111,10665,14512,25177,140980,195796,54816,181955,155492,138.9
2012-13,328726,307491,71573,26504,17072,43577,10256,3182,12643,26082,11037,15287,26324,139936,194246,54310,182085,155223,138.8
2013-14,328726,307796,71828,26913,16948,43861,10258,3187,12388,25832,10694,14154,24848,141427,200950,59523,181850,155581,142
2014-15,328726,307818,71794,26883,16996,43880,10258,3104,12469,25832,11092,15091,26182,140130,198360,58230,181886,155221,141.6
